owner, tokenIds
0xF8e3EFE8f53153b10DEbBdfE59CEFd04817855B2, "1936"
0x4041E9d98f794EE7d952d266C1A10707A0Af5332, "1937"
0x7b5A749a0BA87722df6Bb1c0578EC4fb48E74b52, "1939"
0x877A7a71c9Fc580428424c78dD90822CD844bDC5, "1940"
0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d, "1942"
0x632bddb8EbF43A75Cb9Bf7d589Db1CCad87BAC55, "1943"
0x8D5BA2B764356Ddc9997FEd94DCf83367e8a10a2, "1944"
0x751Ba14ED65d68e136c6AC93e635d2378B4Ab91A, "1945"
0x4298e663517593284Ad4FE199b21815BD48a9969, "1947"
0x8928b26dE9eCc59cacdbA095C6Ed6237F48DdbD2, "1951"
0x1DA4D955d0c8b202c496Bf772B2d234a0fc96cc2, "1952"
0x82A1d1bae02FCe7F5d311bb74767282b5830C0A7, "1953"
0x8Ff27DDF2783C788572910Cb3cfbF9Fceea95938, "1954"
0x5EEEA333e4d3A09b8885020C8aBdaea2da565f16, "2009,1955"
0xecEC9B1A1E19F9bB525459001a69f42c24895283, "1957"
0xcfF44ADa03447D242b2b552a1C02aA5B80a8d8ed, "1958"
0x42199d0EaA511f2F83C3b111896F46953856f5e2, "1959"
0xA841DCE331726A6B9d31f1fcEBB96B8fF291EA14, "1960"
0x87e32D4631D728d6aD7EBcD133b11FeBC9DA9b93, "1961"
0x5ab45FB874701d910140e58EA62518566709c408, "2034,1962"
0xA96F2A820D3d7d5Df3C6c638d40C295a0CF255D1, "1963"
0x096234723ED2BA030A26814b46397e684278aFF3, "1964"
0xbf46D2161045251cB97D0B41929bc1D36044E1a0, "1965"
0xd8dC4CA19F64981F82A65C85f2BE3EEE8e41aD79, "1966"
0x0dbF55A32008A8edE46d267E1E53ed893723Bd13, "1967"
0xe6D8776Ccfc158FaAfccFb2A5B24F82FbaD04B3a, "1968"
0xb80ae4427115c8d349c11D4668FefDDAa9cbEF77, "1969"
0x8C8024bf5f90a06CCeD7D32BAbcCB934942c82f6, "1970"
0x8806D2eD87398BEE00Bb044c882406ba8ead0d5A, "1971"
0xfeA6145Aec3832672Df239639FBc1db273Ace241, "1973"
0x008B1FFe244bF31896C833bFf4Ad9009E7A0f4Eb, "1974"
0x700e6729C190F0Ac7dD382909520e1D00e749DF6, "1975"
0x83443bC737Af694Cd26fd961Bc13d5982292EDac, "1976"
0xE7a70BC6f94Dac32ab5a5D6C2D9964254348E5DD, "1978"
0x6632d36F72e8A55a817c89392D09529efe0D6978, "1980"
0x26938DFD4f89f9450A5402688A4cb1Ba88E09d29, "1981"
0x5D504F005dEE9DF8D41C2F4FFfA6CfdC276E30EC, "1982"
0x308Bff328370FC4a9683aB9fCd79A21be6dC5eE4, "1983"
0x35a214b13c9E223B8D511f343aC8Fa94293233a1, "1984"
0x2EE92C196D63F2313A52C4Bb48F427361460636b, "1985"
0xAf3E252f3190EC77A3a1e07A21c6369A396134eE, "1986"
0xBd1509926AC0Fee9F49D3959d00eFA5500476cFE, "1998,1988"
0x2718A8B3E39F799970d07d72FAF178D0f6AbcE3A, "1990"
0xdE79aAA2f54160b45EF69E1C4b8Fc4c290cd5B88, "1991"
0xa9A8dd79DD7c32F66663944f83faD2c7988c86A5, "2023,1992"
0xf2Bc07DAc20b616e95c7F33B0340EaFfAd1756a7, "1993"
0x71adA1d0870d1022847Dfff344191126b09eD551, "2025,1994"
0xBe7F644Cc8b30D45786f78B253f6F72eD3D0F31a, "1995"
0xd9d1D1aD45E3af9C4E943CA220e5F92C35Bb812c, "1996"
0xE6Fb68ed6f7395dFDd037D437dB6128F60280406, "1997"
0xc63fc0aE83555e2553762EdD887433573F77CFc2, "1999"
0x117f2b2B933Ec674c3Bb60667E3AC81538135861, "2001"
0x2d0F53CE75738bbaDbA6933a581abdE0964e1592, "2002"
0x000B79f52356189C80a9d3AdA3911D4438218516, "2004"
0xBe746B3639af3d3f3a743318F11cE4073e71f42D, "2005"
0x1424D290D3550c6ebAb94c42ab415C20Eed8a4e1, "2007"
0x4942254342E637CAb1d91864C25e54bCD3a2B13d, "2008"
0x06c6Efa5c5eF2dF1e9107559F8207Fc06c7AB533, "2010"
0x675eBC88Bd62310A49762722FC0cF3a725c02E6E, "2011"
0x8f59bF1cffa87b600f3387A9CBCF6F01A3776265, "2013"
0x9C7eFb0BcC09283861cD06eA5CFd1618989a4cFa, "2015"
0x365513A99D34ABFdb258d01217BeC0399e687e18, "2017"
0x7302bC5b47F5588174A148C90747a88CB528A8c1, "2018"
0x0538c5d5320E94811174F35990CA7914Effa6676, "2019"
0x9482A42bF92F7FcA8aaF53Da2F38555c6Ce7265b, "2020"
0x34665577f1D363D839B88d24105833efEd0C592A, "2021"
0xd3A1ab87C8aB81CB093Ef5430A387D127ac523a0, "2026"
0xDFdB434B6aec40240F06AFffd085e4fC4990d8e1, "2028"
0x4444A136b1445B1f5e4a20656854adCF6Fa3d667, "2039,2029"
0x60963e2A899797ff6c0259aBCba37bCDFDFBAFf2, "2030"
0x95D19d9bCA7274D4c1fBe0ECb35608Ac2662906f, "2033"
0x957A85E0F23a5C6E1Ca7c8e869fEfD01CC406E0D, "2036"
0x4835B48FC847E51CD63CCa309250C3Cd6F4D285e, "2046,2037"
0x9e061E73f28b3793183FebFe06E544fbF61f5650, "2038"
0x1828B4930991E144858a181c9daFe26e4D82d744, "2040"
0x8F70b3aC45A6896532FB90B992D5B7827bA88d3C, "2041"
0xb104371D5a2680fB0d47eA9A3aA2348392454186, "2042"
0x40F51Eb502Ac737b4874925fEac8C970F9B01f74, "2045"
